idade,sexo,frequencia_semanal_treino,tipo_atividade,tempo_medio_exercicio,minutos_totais_semana,preco_plano,possui_nutricionista,primeiro_PGC,ultimo_PGC,data_matricula,estado,ano_matricula,mes_matricula,imc,pgc_inicial,pgc_final,evolucao_pgc,evolucao_pgc_percentual
48,M,7.0,Natação,45.3,317.1,188.47,Não,39.5,24.9,2021-07-28,Ativa,2021,7,,39.5,24.9,-14.600000000000001,-36.9620253164557
30,M,7.0,Yoga,98.1,686.7,198.07,Não,25.2,23.5,2020-12-28,Ativa,2020,12,,25.2,23.5,-1.6999999999999993,-6.7460317460317425
35,M,5.0,Cardio,33.9,169.5,154.9,Não,27.2,11.4,2022-02-27,Ativa,2022,2,,27.2,11.4,-15.799999999999999,-58.08823529411764
43,M,3.0,Yoga,75.6,226.8,250.79,Sim,14.4,19.2,2022-12-01,Ativa,2022,12,,14.4,19.2,4.799999999999999,33.33333333333333
37,M,0.0,Crossfit,114.0,0.0,168.02,Sim,21.5,18.1,2024-01-20,Sedentária,2024,1,,21.5,18.1,-3.3999999999999986,-15.813953488372087
57,M,2.0,Yoga,95.5,191.0,74.06,Não,35.8,14.4,2020-04-26,Ativa,2020,4,,35.8,14.4,-21.4,-59.77653631284916
55,M,7.0,Crossfit,95.7,669.9,289.13,Sim,16.1,14.9,2022-06-12,Ativa,2022,6,,16.1,14.9,-1.200000000000001,-7.453416149068329
21,F,5.0,Yoga,117.5,587.5,259.55,Não,13.2,13.5,2021-09-07,Ativa,2021,9,,13.2,13.5,0.3000000000000007,2.2727272727272783
37,M,7.0,Yoga,,,194.34,Sim,18.4,21.8,2025-09-02,Ativa,2025,9,,18.4,21.8,3.400000000000002,18.47826086956523
50,M,1.0,Musculação,105.0,105.0,290.91,Sim,37.3,31.0,2020-05-06,Ativa,2020,5,,37.3,31.0,-6.299999999999997,-16.89008042895442
21,F,0.0,Futebol,94.8,0.0,176.86,Sim,25.5,21.2,2025-03-10,Sedentária,2025,3,,25.5,21.2,-4.300000000000001,-16.86274509803922
30,M,0.0,Crossfit,67.7,0.0,147.73,Sim,28.6,25.4,2023-11-12,Sedentária,2023,11,,28.6,25.4,-3.200000000000003,-11.188811188811199
42,M,1.0,Yoga,56.6,56.6,170.38,Não,15.7,29.6,2021-12-31,Ativa,2021,12,,15.7,29.6,13.900000000000002,88.53503184713377
20,M,6.0,Cardio,47.8,286.8,206.8,Sim,10.4,22.7,2022-12-25,Ativa,2022,12,,10.4,22.7,12.299999999999999,118.26923076923075
47,F,2.0,Musculação,112.5,225.0,117.85,Não,29.0,13.4,2020-05-01,Ativa,2020,5,,29.0,13.4,-15.6,-53.79310344827586
24,M,4.0,Crossfit,80.4,321.6,63.51,Não,13.5,34.1,2020-10-29,Ativa,2020,10,,13.5,34.1,20.6,152.5925925925926
62,M,4.0,Futebol,69.1,276.4,143.89,Sim,29.8,16.0,2024-01-19,Ativa,2024,1,,29.8,16.0,-13.8,-46.308724832214764
35,F,0.0,Natação,48.9,0.0,53.65,Não,12.3,20.9,2025-04-23,Sedentária,2025,4,,12.3,20.9,8.599999999999998,69.91869918699184
22,M,4.0,Musculação,94.3,377.2,131.0,Não,36.7,10.8,2022-06-13,Ativa,2022,6,,36.7,10.8,-25.900000000000002,-70.57220708446866
36,F,4.0,Crossfit,101.7,406.8,174.82,Não,31.2,36.4,2021-06-11,Ativa,2021,6,,31.2,36.4,5.199999999999999,16.666666666666664
36,F,3.0,Crossfit,99.6,298.8,298.37,Sim,22.7,30.3,2022-07-02,Ativa,2022,7,,22.7,30.3,7.600000000000001,33.48017621145375
57,M,5.0,Natação,94.7,473.5,225.36,Não,28.1,11.4,2024-10-13,Ativa,2024,10,,28.1,11.4,-16.700000000000003,-59.43060498220641
57,M,5.0,Crossfit,42.2,211.0,251.88,Não,22.7,27.2,2022-05-26,Ativa,2022,5,,22.7,27.2,4.5,19.823788546255507
52,F,6.0,Yoga,89.6,537.6,181.9,Sim,11.3,16.8,2022-04-10,Ativa,2022,4,,11.3,16.8,5.5,48.67256637168141
31,M,2.0,Futebol,52.3,104.6,81.08,Sim,13.3,35.5,2023-05-20,Ativa,2023,5,,13.3,35.5,22.2,166.9172932330827
64,M,1.0,Yoga,105.6,105.6,256.94,Sim,14.3,34.1,2024-10-04,Ativa,2024,10,,14.3,34.1,19.8,138.46153846153845
64,M,0.0,Musculação,,,148.59,Sim,19.3,19.1,2024-10-13,Sedentária,2024,10,,19.3,19.1,-0.1999999999999993,-1.0362694300518096
41,M,2.0,Futebol,81.6,163.2,56.38,Sim,12.9,30.1,2024-09-09,Ativa,2024,9,,12.9,30.1,17.200000000000003,133.33333333333334
40,F,4.0,Natação,82.1,328.4,114.78,Não,33.6,27.6,2021-05-09,Ativa,2021,5,,33.6,27.6,-6.0,-17.857142857142858
37,M,4.0,Yoga,45.1,180.4,78.51,Sim,17.3,32.4,2023-05-08,Ativa,2023,5,,17.3,32.4,15.099999999999998,87.28323699421964
51,M,7.0,Cardio,74.5,521.5,223.85,Sim,10.2,29.5,2020-05-23,Ativa,2020,5,,10.2,29.5,19.3,189.2156862745098
42,F,5.0,Cardio,109.8,549.0,136.8,Não,30.7,13.9,2022-02-04,Ativa,2022,2,,30.7,13.9,-16.799999999999997,-54.72312703583061
33,M,2.0,Musculação,93.8,187.6,113.1,Sim,35.8,12.5,2023-03-11,Ativa,2023,3,,35.8,12.5,-23.299999999999997,-65.08379888268156
48,F,0.0,Natação,75.4,0.0,74.83,Não,23.6,24.5,2020-09-05,Sedentária,2020,9,,23.6,24.5,0.8999999999999986,3.813559322033892
20,M,4.0,Yoga,29.6,118.4,263.94,Sim,38.7,20.1,2024-02-04,Ativa,2024,2,,38.7,20.1,-18.6,-48.06201550387597
35,M,3.0,Natação,94.5,283.5,94.64,Sim,15.0,23.5,2024-08-24,Ativa,2024,8,,15.0,23.5,8.5,56.666666666666664
56,F,0.0,Musculação,25.8,0.0,233.58,Sim,18.6,12.6,2020-03-26,Sedentária,2020,3,,18.6,12.6,-6.000000000000002,-32.25806451612904
21,M,6.0,Cardio,33.9,203.4,151.75,Não,39.2,15.9,2023-06-16,Ativa,2023,6,,39.2,15.9,-23.300000000000004,-59.43877551020409
53,M,2.0,Yoga,98.3,196.6,176.74,Sim,37.4,29.5,2025-02-04,Ativa,2025,2,,37.4,29.5,-7.899999999999999,-21.122994652406415
34,M,4.0,Yoga,21.9,87.6,171.13,Não,30.7,23.0,2024-02-18,Ativa,2024,2,,30.7,23.0,-7.699999999999999,-25.0814332247557
40,M,4.0,Natação,36.9,147.6,261.56,Não,20.8,17.4,2020-01-29,Ativa,2020,1,,20.8,17.4,-3.400000000000002,-16.346153846153854
45,M,5.0,Futebol,104.3,521.5,138.88,Sim,36.0,36.0,2020-02-07,Ativa,2020,2,,36.0,36.0,0.0,0.0
49,M,5.0,Futebol,,,235.3,Não,30.4,13.2,2024-03-25,Ativa,2024,3,,30.4,13.2,-17.2,-56.57894736842105
54,F,,Cardio,113.2,,65.29,Sim,16.6,35.0,2021-10-05,Sedentária,2021,10,,16.6,35.0,18.4,110.84337349397589
32,F,0.0,Crossfit,46.9,0.0,273.31,Não,30.9,10.6,2020-12-16,Sedentária,2020,12,,30.9,10.6,-20.299999999999997,-65.69579288025889
35,M,4.0,Yoga,46.8,187.2,61.92,Sim,21.3,17.5,2022-03-08,Ativa,2022,3,,21.3,17.5,-3.8000000000000007,-17.840375586854464
20,M,7.0,Natação,58.1,406.7,195.57,Sim,10.7,28.0,2024-02-26,Ativa,2024,2,,10.7,28.0,17.3,161.6822429906542
35,M,5.0,Yoga,57.3,286.5,97.55,Não,17.2,12.1,2025-02-23,Ativa,2025,2,,17.2,12.1,-5.1,-29.651162790697672
20,M,1.0,Cardio,71.0,71.0,163.27,Não,27.3,20.6,2023-06-19,Ativa,2023,6,,27.3,20.6,-6.699999999999999,-24.542124542124537
33,M,7.0,Musculação,118.3,828.1,184.03,Não,12.7,25.9,2021-11-28,Ativa,2021,11,,12.7,25.9,13.2,103.93700787401573
22,M,5.0,Natação,119.6,598.0,243.95,Não,36.9,27.3,2020-03-14,Ativa,2020,3,,36.9,27.3,-9.599999999999998,-26.016260162601622
